label,model,category,expected,verdict,pass,latency_s
seed1_correctness,gpt-5.5,correctness,defect,caught,yes,68
seed2_invented,gpt-5.5,invented-symbol,defect,caught,yes,127
seed3_security,gpt-5.5,security,defect,caught,yes,121
real_c3a891b,gpt-5.5,real-clean,clean,clean,yes,118
real_5ff245c,gpt-5.5,real-clean,clean,clean,yes,90
seed1_correctness,gpt-5.6-terra,correctness,defect,caught,yes,93
seed2_invented,gpt-5.6-terra,invented-symbol,defect,caught,yes,116
seed3_security,gpt-5.6-terra,security,defect,caught,yes,55
real_c3a891b,gpt-5.6-terra,real-clean,clean,clean,yes,78
real_5ff245c,gpt-5.6-terra,real-clean,clean,clean,yes,68
seed1_correctness,gpt-5.6-sol,correctness,defect,caught,yes,74
seed2_invented,gpt-5.6-sol,invented-symbol,defect,caught,yes,58
seed3_security,gpt-5.6-sol,security,defect,caught,yes,42
real_c3a891b,gpt-5.6-sol,real-clean,clean,clean,yes,66
real_5ff245c,gpt-5.6-sol,real-clean,clean,clean,yes,70
